TimesH,Frame,NoMissing,0,0,4,4,5,5,19,19,22,22,27,27,28,28,33,33,34,34,37,37,77,77,85,85,88,88,90,90,93,93,95,95,99,99,101,101,111,111,115,115,121,121,124,124,125,125,131,131,134,134,135,135,140,140,141,141,144,144,146,146,147,147,151,151,153,153,154,154,160,160,163,163,164,164,170,170,172,172,177,177,181,181,183,183,185,185,189,189,191,191,193,193,195,195,196,196,198,198,199,199,203,203,204,204,205,205,206,206,209,209,210,210,213,213,214,214,217,217,218,218,220,220,222,222,225,225,288,288,309,309,379,379,392,392,413,413,442,442,450,450,520,520,559,559,592,592,605,605,705,705
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,261.409,188.05,119.42200000000001,188.519,63.769,187.981,108.939,187.012,241.69099999999997,194.544,138.039,195.692,105.17299999999999,196.043,127.54899999999999,191.73,92.15700000000001,194.86599999999999,225.00900000000001,193.88,252.34900000000002,84.969,237.795,130.661,138.75,131.245,294.483,129.08,128.257,135.49200000000002,114.47200000000001,134.186,96.164,116.133,130.572,114.448,149.447,118.083,78.193,143.33,114.40799999999999,143.561,68.085,137.572,32.759,137.224,56.871,150.15200000000002,304.874,151.286,317.182,150.207,283.796,145.349,291.971,144.588,297.205,148.024,154.681,157.064,123.96799999999999,157.055,145.042,159.798,89.728,158.148,110.33200000000001,157.408,216.511,155.453,53.3,164.562,255.739,163.60399999999998,271.594,164.706,244.643,161.438,81.388,162.327,314.807,169.885,279.1,170.50799999999998,251.485,172.768,287.33099999999996,168.232,62.723,167.297,83.33200000000001,169.81099999999998,258.818,177.22799999999998,236.43099999999998,177.21,220.669,175.726,297.692,177.94,127.939,174.50599999999997,76.578,174.024,61.575,173.488,293.279,172.77599999999998,245.183,173.797,150.325,174.453,70.85600000000001,183.967,266.343,182.803,93.896,185.583,306.362,184.995,272.189,182.045,287.731,179.34599999999998,204.65200000000002,183.576,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,261.46,188.024,119.537,188.517,63.783,187.957,108.984,186.888,241.602,194.28799999999998,137.881,196.014,105.18,195.96099999999998,127.569,191.665,92.134,194.89,224.959,193.58,252.222,84.96700000000001,237.75599999999997,130.624,138.734,131.232,294.432,129.113,128.261,135.459,114.559,134.115,96.083,116.152,130.673,114.245,149.309,118.315,78.21300000000001,143.334,114.368,143.58700000000002,68.013,137.577,32.735,137.131,56.867,150.14600000000002,304.927,151.289,317.132,150.166,283.754,145.256,291.933,144.513,297.253,148.036,154.659,157.037,123.973,157.026,145.083,159.733,89.70200000000001,158.167,110.348,157.452,216.498,155.42600000000002,53.357,164.57299999999998,255.7,163.586,271.572,164.733,244.66,161.394,81.385,162.291,314.829,169.815,279.039,170.49200000000002,251.451,172.71099999999998,287.322,168.239,62.715,167.25099999999998,83.361,169.805,258.851,177.201,236.46099999999998,177.22299999999998,220.627,175.674,297.717,177.921,127.976,174.408,76.542,174.02599999999998,61.61,173.452,293.296,172.773,245.166,173.785,150.343,174.4,70.843,183.963,266.263,182.94799999999998,94.09200000000001,185.62099999999998,306.387,185.09,272.221,182.048,287.735,179.362,204.555,183.563,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,261.47900000000004,187.96200000000002,119.435,188.482,63.608000000000004,187.98,109.00399999999999,186.851,241.666,194.329,137.785,196.31,105.09200000000001,195.87400000000002,127.723,191.56,92.15299999999999,194.85299999999998,224.99400000000003,193.485,252.39,84.917,237.757,130.625,138.767,131.17,294.39,129.14600000000002,128.319,135.405,114.583,134.10299999999998,96.06299999999999,116.15700000000001,130.561,114.34200000000001,149.42600000000002,118.23700000000001,78.165,143.322,114.35600000000001,143.605,67.944,137.571,32.881,137.089,56.842,150.129,304.954,151.24200000000002,317.187,150.143,283.725,145.202,291.91700000000003,144.483,297.236,147.97799999999998,154.713,157.071,124.00299999999999,157.011,145.056,159.72299999999998,89.706,158.14,110.406,157.399,216.57,155.319,53.371,164.585,255.722,163.528,271.536,164.74,244.657,161.39700000000002,81.368,162.263,314.856,169.847,279.13,170.56799999999998,251.451,172.68599999999998,287.301,168.22799999999998,62.648999999999994,167.269,83.344,169.78,258.82,177.208,236.579,177.15400000000002,220.644,175.63299999999998,297.715,177.903,128.025,174.375,76.577,174.062,61.701,173.43,293.319,172.72799999999998,245.139,173.74,150.38299999999998,174.333,70.84,183.958,266.22900000000004,182.984,94.038,185.638,306.416,185.081,272.258,182.09799999999998,287.732,179.334,204.61900000000003,183.4,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,261.379,188.017,119.485,188.502,63.66,187.96099999999998,108.999,186.828,241.563,193.979,137.858,196.394,105.09899999999999,195.90900000000002,127.727,191.53400000000002,92.16,194.81400000000002,224.915,193.257,252.475,84.87299999999999,237.783,130.689,138.82299999999998,131.14,294.41700000000003,129.12,128.349,135.31,114.62,134.058,96.09100000000001,116.081,130.19,114.39399999999999,149.439,118.196,78.185,143.339,114.385,143.608,67.969,137.477,32.953,137.094,56.761,150.085,304.948,151.249,317.168,150.165,283.671,145.003,291.938,144.484,297.467,147.963,154.725,157.084,124.02,156.958,145.091,159.687,89.758,158.149,110.708,157.046,216.572,155.327,53.372,164.55599999999998,255.675,163.565,271.0,164.0,244.67700000000002,161.374,81.373,162.249,314.839,169.864,279.142,170.53799999999998,251.517,172.68400000000003,287.301,168.23,62.632,167.335,83.365,169.709,258.791,177.222,236.575,177.19400000000002,220.62599999999998,175.58,297.702,177.88400000000001,128.08100000000002,174.25400000000002,76.568,174.06400000000002,61.716,173.521,293.35,172.671,245.024,173.66400000000002,150.335,174.34799999999998,70.843,183.954,266.262,182.877,93.945,185.597,306.619,185.081,272.295,182.149,287.752,179.343,204.67700000000002,183.247,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,261.22900000000004,188.033,119.455,188.42,63.75899999999999,187.916,109.03,186.967,241.625,194.005,137.803,196.56,105.04799999999999,195.946,127.652,191.567,92.176,194.801,224.817,192.832,252.5,84.9,237.774,130.614,138.855,131.105,294.35400000000004,129.164,128.372,135.243,114.705,133.988,96.046,116.023,130.183,114.37899999999999,149.41299999999998,118.211,78.191,143.308,114.429,143.64,67.967,137.476,32.98,137.071,56.768,150.10299999999998,304.953,151.305,317.156,150.222,283.699,145.036,291.89099999999996,144.374,297.26599999999996,147.958,154.80100000000002,157.05,124.042,156.977,145.09799999999998,159.639,89.72200000000001,158.162,110.75399999999999,157.014,216.52900000000002,155.359,53.345,164.606,255.62,163.55100000000002,271.0,164.0,244.68599999999998,161.342,81.35300000000001,162.243,314.82099999999997,169.71900000000002,279.152,170.52200000000002,251.562,172.644,287.301,168.199,62.688,167.415,83.376,169.69400000000002,258.793,177.141,236.641,177.144,220.554,175.61900000000003,297.73900000000003,177.865,128.06,174.282,76.541,174.097,61.706,173.548,293.35200000000003,172.671,244.963,173.59,150.33700000000002,174.30200000000002,70.836,183.96200000000002,266.307,182.96599999999998,93.524,185.468,306.431,185.007,272.315,182.167,287.767,179.382,204.676,183.043,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,261.176,188.05200000000002,119.485,188.418,63.856,187.852,109.045,186.894,241.604,193.91299999999998,137.819,196.555,105.014,195.822,127.655,191.571,92.176,194.785,224.78400000000002,192.581,252.63400000000001,84.85,237.81799999999998,130.683,138.869,131.019,294.401,129.109,128.376,135.22,114.62,133.96,96.038,115.896,130.57399999999998,114.37899999999999,149.437,118.12700000000001,78.256,143.253,114.477,143.547,68.089,137.429,32.977,137.063,56.742,150.067,304.991,151.254,317.157,150.162,283.665,144.869,291.908,144.359,297.3,147.953,154.695,157.005,124.07700000000001,156.977,145.118,159.664,89.68700000000001,158.161,110.819,156.944,216.498,155.298,53.402,164.597,255.567,163.562,271.411,164.533,244.69400000000002,161.33,81.361,162.224,314.856,169.821,279.051,170.458,251.609,172.68900000000002,287.302,168.18099999999998,62.74100000000001,167.377,83.405,169.641,258.843,177.138,236.71400000000003,177.077,220.47400000000002,175.643,297.728,177.85,128.143,174.155,76.56,174.076,61.633,173.517,293.33,172.658,244.97099999999998,173.581,150.319,174.28,70.835,183.919,266.278,183.12,93.499,185.45,306.437,184.90900000000002,272.32599999999996,182.27599999999998,287.802,179.40200000000002,204.704,182.872,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,261.195,188.047,119.40799999999999,188.361,63.868,187.862,108.979,186.84400000000002,,,137.80100000000002,196.606,104.921,195.74,127.59700000000001,191.61900000000003,92.21700000000001,194.77599999999998,224.92700000000002,192.81799999999998,252.703,84.771,237.792,130.625,138.894,130.97299999999998,294.468,129.061,128.422,135.13,114.546,133.96200000000002,96.06200000000001,115.86399999999999,130.84799999999998,114.306,149.35399999999998,118.243,78.202,143.248,114.541,143.51,68.199,137.4,33.004,136.964,56.798,150.043,304.982,151.16899999999998,317.233,150.174,283.58,144.849,291.89799999999997,144.368,297.264,147.895,154.65,157.04,124.031,156.97899999999998,145.086,159.69,89.587,158.17600000000002,110.821,156.94799999999998,216.43,155.316,53.422,164.55700000000002,255.525,163.547,271.35900000000004,164.52700000000002,244.729,161.33700000000002,81.355,162.225,314.839,169.852,279.033,170.403,251.64,172.67,287.29200000000003,168.153,62.735,167.388,83.425,169.613,258.824,177.09799999999998,236.66400000000002,177.09799999999998,220.475,175.696,297.733,177.833,128.159,174.082,76.575,174.023,61.67100000000001,173.495,293.392,172.609,244.957,173.567,150.338,174.25799999999998,70.834,183.88,266.249,183.054,93.384,185.391,306.507,184.968,272.341,182.304,287.762,179.392,204.773,182.847,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,261.184,188.043,119.369,188.338,63.803999999999995,187.873,109.007,186.87599999999998,,,137.745,196.532,104.81,195.63099999999997,127.635,191.59,92.20100000000001,194.757,224.899,192.69099999999997,252.91,84.76799999999999,237.782,130.595,138.9,130.91899999999998,294.395,129.143,128.447,135.019,114.619,133.939,96.156,115.819,131.27200000000002,114.219,149.446,118.068,78.203,143.269,114.52600000000001,143.57,68.08,137.263,33.01,137.02100000000002,56.828,150.025,304.999,151.157,317.26099999999997,150.17,283.643,144.78,291.918,144.39700000000002,297.176,147.904,154.562,157.05200000000002,124.015,157.006,145.10299999999998,159.721,89.58200000000001,158.18200000000002,110.823,156.931,216.398,155.304,53.51,164.43,255.513,163.579,271.355,164.484,244.755,161.326,81.37899999999999,162.224,314.85900000000004,169.753,279.112,170.56599999999997,251.65200000000002,172.662,287.309,168.144,62.724,167.43599999999998,83.40299999999999,169.61599999999999,258.822,177.095,236.69799999999998,177.12,220.541,175.62900000000002,297.714,177.83,128.16899999999998,174.03400000000002,76.64,174.02700000000002,61.693999999999996,173.47,293.39599999999996,172.58900000000003,244.875,173.53599999999997,150.321,174.255,70.8,183.873,266.298,182.977,93.292,185.387,306.377,184.97,272.35900000000004,182.33,287.73400000000004,179.352,204.801,182.808,,,,,,,,,,,,,,,,,,,,,,,,
