TimesH,Frame,NoMissing,3,3,8,8,11,11,14,14,35,35,36,36,37,37,38,38,55,55,69,69,75,75,79,79,83,83,86,86,103,103,121,121,135,135,157,157,162,162,167,167,187,187,204,204,212,212,215,215,219,219,222,222,227,227,230,230,243,243,247,247,248,248,251,251,273,273,276,276,277,277,278,278,279,279,281,281,302,302,304,304,324,324,327,327,333,333,336,336,337,337,342,342,343,343,347,347,348,348,349,349,355,355,360,360,362,362,371,371,376,376,393,393,394,394,398,398,401,401,408,408,409,409,411,411,418,418,419,419,428,428,438,438,455,455,459,459,476,476,480,480,489,489,503,503,509,509,511,511,518,518,532,532,541,541,547,547,550,550,554,554,556,556,557,557,564,564,653,653,689,689,737,737,777,777,780,780,806,806,817,817,898,898,908,908,910,910,933,933,1078,1078,1130,1130,1149,1149,1156,1156,1172,1172,1282,1282,1331,1331
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,127.054,112.605,38.411,113.29799999999999,,,109.11,114.22,88.074,190.209,267.753,117.52,148.186,189.833,310.78,116.795,321.647,120.07799999999999,93.24700000000001,123.124,285.809,123.185,328.77099999999996,123.757,135.372,124.88600000000001,149.83700000000002,125.71,241.822,127.586,311.133,130.954,333.04,132.279,233.614,137.668,76.446,138.095,46.324,139.265,94.67200000000001,141.855,67.935,143.585,14.196,143.572,271.467,144.418,269.533,14.207,244.657,15.446,104.985,145.64600000000002,62.552,147.78799999999998,50.06,148.096,126.803,26.405,220.583,147.822,245.679,26.331,79.457,151.838,237.697,152.359,254.467,36.838,101.78,37.671,330.909,152.358,242.398,38.365,228.18400000000003,154.196,288.08099999999996,154.138,250.382,53.996,248.68099999999998,156.736,106.764,58.082,130.19899999999998,158.649,92.677,58.626999999999995,218.148,158.373,284.009,61.608000000000004,249.12900000000002,63.093,336.02,157.71200000000002,295.95099999999996,63.157,97.73899999999999,64.801,71.566,65.92399999999999,53.15,159.64700000000002,285.448,159.814,232.342,161.3,276.121,75.195,258.079,161.85299999999998,111.5,76.285,113.24799999999999,163.267,298.394,162.735,95.759,80.007,292.07599999999996,80.447,314.881,164.248,323.339,163.579,276.579,84.32700000000001,257.643,86.72,218.81400000000002,88.177,227.347,88.75200000000001,336.046,170.989,118.756,96.24799999999999,249.054,97.13600000000001,228.58700000000002,99.904,82.81299999999999,175.155,78.518,102.008,258.817,103.425,136.975,176.729,289.16900000000004,178.748,41.713,179.928,150.582,180.18099999999998,250.74900000000002,179.91299999999998,262.482,179.84,101.851,110.022,70.294,182.72400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,127.065,112.55,38.474000000000004,113.31299999999999,,,109.146,114.211,88.206,190.265,267.769,117.709,148.125,189.792,310.76099999999997,116.788,321.668,120.07700000000001,93.29299999999999,123.09899999999999,285.795,123.191,328.76099999999997,123.74700000000001,135.27200000000002,125.494,149.748,125.945,241.868,127.762,311.125,130.969,333.035,132.298,233.61900000000003,137.539,76.476,138.115,46.338,139.262,94.648,141.859,67.98,143.47,14.174000000000001,143.55200000000002,271.35200000000003,144.341,269.486,14.235999999999999,244.63,15.450999999999999,104.96700000000001,145.618,62.59,147.467,50.05,148.08,126.84200000000001,26.331999999999997,220.635,147.879,245.64,26.377,79.503,151.74,237.69799999999998,152.36,254.417,36.830999999999996,101.79299999999999,37.687,330.88699999999994,152.38,242.359,38.367,228.155,154.174,288.032,154.089,250.41400000000002,53.982,248.642,156.671,106.72399999999999,58.126999999999995,130.166,158.555,92.67,58.629,218.199,158.482,283.974,61.604,249.09099999999998,63.098,336.045,157.685,295.921,63.156000000000006,97.693,64.839,71.594,65.932,53.208,159.637,285.54400000000004,159.752,232.35299999999998,161.247,276.095,75.16199999999999,258.087,161.85,111.507,76.278,113.001,163.503,298.372,162.748,95.77600000000001,79.95,292.022,80.42699999999999,314.837,164.267,323.35,163.608,276.591,84.291,257.496,86.492,218.62,88.163,227.359,88.70200000000001,336.027,170.90400000000002,118.801,96.333,249.018,97.169,228.565,99.875,82.821,175.048,78.49600000000001,101.955,258.822,103.416,136.89,176.685,289.372,178.72,41.68600000000001,180.00099999999998,150.62,180.208,250.733,179.862,262.431,179.75400000000002,101.904,110.03299999999999,70.221,182.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,127.11200000000001,112.537,38.513000000000005,113.335,283.975,186.08900000000003,109.118,114.18700000000001,87.95100000000001,190.178,267.78700000000003,117.545,148.217,189.667,310.74,116.734,321.676,120.068,93.301,123.031,285.805,123.176,328.769,123.77799999999999,135.18,124.823,149.715,126.0,241.96,128.08100000000002,311.119,130.964,333.02099999999996,132.305,233.632,137.38,76.46600000000001,138.08700000000002,46.326,139.275,94.661,141.85299999999998,68.024,143.437,14.109000000000002,143.53799999999998,271.334,144.30700000000002,269.48400000000004,14.227,244.636,15.447000000000001,104.995,145.592,62.58,147.468,50.071000000000005,148.06,126.88799999999999,26.331999999999997,220.622,148.011,245.611,26.395,79.41199999999999,151.892,237.68099999999998,152.365,254.388,36.835,101.83200000000001,37.698,330.95300000000003,152.346,242.363,38.374,228.077,154.16,288.03700000000003,154.05200000000002,250.449,53.956,248.58,156.64600000000002,106.7,58.108999999999995,130.19299999999998,158.463,92.654,58.615,218.16099999999997,158.363,283.95799999999997,61.578,249.088,63.068000000000005,336.05199999999996,157.685,295.845,63.148,97.64299999999999,64.82,71.611,65.967,53.188,159.615,285.522,159.754,232.31099999999998,161.138,276.113,75.181,258.103,161.842,111.508,76.309,113.12200000000001,163.384,298.38,162.733,95.79,79.939,292.01099999999997,80.393,314.883,164.328,323.365,163.602,276.599,84.28200000000001,257.656,86.68799999999999,218.674,88.162,227.33900000000003,88.68799999999999,335.97900000000004,170.755,118.839,96.383,249.035,97.148,228.541,99.93299999999999,82.801,175.09400000000002,78.505,101.979,258.865,103.39299999999999,136.882,176.755,289.62,178.878,41.683,179.903,150.528,180.11,250.799,179.854,262.242,179.718,101.811,110.057,70.32600000000001,182.55900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,127.404,112.443,38.562,113.368,283.73,186.157,109.169,114.211,87.959,190.183,267.84,117.45700000000001,148.234,189.62400000000002,310.70799999999997,116.73899999999999,321.658,120.06700000000001,93.198,123.008,285.816,123.135,328.767,123.78200000000001,135.19899999999998,125.492,149.69799999999998,125.943,241.94400000000002,128.125,311.08,130.906,333.017,132.295,233.55900000000003,137.44799999999998,76.43,138.092,46.335,139.214,94.617,141.828,68.038,143.386,14.107999999999999,143.548,271.344,144.355,269.438,14.232999999999999,244.636,15.440999999999999,105.03,145.639,62.603,147.618,50.052,148.001,126.905,26.284000000000002,220.643,148.025,245.604,26.385,79.393,151.939,237.64700000000002,152.351,254.25599999999997,36.8,101.84200000000001,37.705,330.909,152.372,242.36,38.344,228.058,154.16899999999998,288.128,154.066,250.396,53.92,248.612,156.632,106.68700000000001,58.11,130.189,158.466,92.64399999999999,58.638999999999996,218.15599999999998,158.262,283.96,61.576,249.051,63.006,336.095,157.713,295.776,63.166000000000004,97.68299999999999,64.782,71.60300000000001,65.955,53.218999999999994,159.6,285.49,159.773,232.32,161.172,276.107,75.17,258.093,161.82,111.494,76.332,113.073,163.386,298.356,162.726,95.895,79.738,291.949,80.509,314.878,164.351,323.353,163.602,276.619,84.255,257.642,86.661,218.606,88.05799999999999,227.363,88.662,336.004,170.822,118.861,96.40100000000001,249.078,97.12899999999999,228.541,99.91,82.88,175.15200000000002,78.446,101.839,258.85900000000004,103.339,136.84799999999998,176.968,289.907,178.783,41.72,179.96099999999998,150.52100000000002,180.071,250.80599999999998,179.81,262.293,179.739,101.773,110.069,70.30199999999999,182.46099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,127.459,112.40299999999999,38.606,113.406,283.49,186.175,109.236,114.229,87.727,189.958,267.855,117.3,148.246,189.584,310.73,116.69,321.64,120.088,93.29700000000001,122.991,285.825,123.08200000000001,328.754,123.76799999999999,135.23,125.626,149.61700000000002,126.213,241.94299999999998,128.161,311.074,130.921,333.022,132.319,233.59,137.411,76.437,138.064,46.354,139.207,94.62700000000001,141.805,68.069,143.36700000000002,14.1,143.501,271.361,144.336,269.439,14.222999999999999,244.62,15.443,105.014,145.623,62.659,147.738,50.055,147.95600000000002,126.85600000000001,26.271,220.71900000000002,147.971,245.63299999999998,26.316999999999997,79.331,151.988,237.662,152.364,254.217,36.778,101.848,37.714,330.895,152.30100000000002,242.335,38.325,228.023,154.185,288.116,154.069,250.442,53.919,248.453,156.577,106.646,58.115,130.211,158.436,92.68299999999999,58.626000000000005,218.11599999999999,158.142,283.94599999999997,61.567,249.018,62.95,336.139,157.725,295.867,63.128,97.68,64.75,71.618,65.91199999999999,53.247,159.601,285.459,159.862,232.31900000000002,161.158,276.116,75.139,258.08099999999996,161.816,111.49799999999999,76.334,113.131,163.24200000000002,298.35,162.687,95.84700000000001,79.877,291.921,80.42399999999999,314.894,164.388,323.341,163.576,276.639,84.176,257.643,86.695,218.56799999999998,87.885,227.357,88.678,335.965,170.75099999999998,118.902,96.402,249.13299999999998,97.113,228.516,99.844,82.90299999999999,175.18,78.501,101.802,258.846,103.346,136.82399999999998,177.102,290.079,178.86,41.708999999999996,179.94799999999998,150.545,179.984,250.84400000000002,179.731,262.44599999999997,179.771,101.72200000000001,110.084,70.238,182.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,127.60700000000001,112.304,38.652,113.405,283.472,186.24,109.25200000000001,114.257,87.648,189.90400000000002,267.839,117.419,148.238,189.592,310.733,116.715,321.659,120.07600000000001,93.304,122.98200000000001,285.819,123.064,328.75800000000004,123.774,135.225,125.719,150.0,126.0,241.997,128.38,311.123,130.907,333.031,132.291,233.6,137.395,76.491,138.12,46.35,139.235,94.574,141.756,67.97399999999999,143.424,14.136,143.469,271.421,144.355,269.443,14.245999999999999,244.66,15.399000000000001,105.045,145.582,62.61,147.93,50.088,147.908,126.928,26.25,220.71,147.903,245.66,26.307,79.333,151.983,237.671,152.357,254.213,36.755,101.881,37.727,330.87199999999996,152.335,242.338,38.317,227.951,154.2,288.18,154.135,250.429,53.913000000000004,248.40599999999998,156.542,106.632,58.091,130.207,158.44,92.709,58.596000000000004,218.104,158.22799999999998,283.936,61.56399999999999,249.054,62.997,336.149,157.739,295.808,63.157,97.63799999999999,64.737,71.594,65.908,53.266999999999996,159.621,285.496,159.783,232.285,161.165,276.118,75.148,258.055,161.786,111.5,76.339,113.13799999999999,163.27700000000002,298.324,162.629,95.884,79.77,291.868,80.48,314.922,164.45,323.365,163.542,276.634,84.177,257.675,86.777,218.713,88.009,227.338,88.66,336.02099999999996,170.638,118.954,96.465,249.203,97.069,228.563,99.85700000000001,82.921,175.123,78.539,101.79700000000001,258.827,103.34100000000001,136.657,177.06,290.084,178.88099999999997,41.683,179.982,150.623,180.016,250.827,179.767,262.253,179.753,101.852,110.05799999999999,70.181,182.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,127.721,112.264,38.729,113.374,283.474,186.278,109.291,114.227,87.574,189.77200000000002,267.81,117.441,148.22,189.50900000000001,310.715,116.695,321.663,120.06299999999999,93.406,122.999,285.839,123.109,328.772,123.777,135.201,125.655,149.491,126.65100000000001,242.02,128.295,311.215,130.851,333.00199999999995,132.313,233.572,137.467,76.508,138.187,46.354,139.207,94.595,141.77200000000002,68.041,143.40200000000002,14.09,143.562,271.405,144.30200000000002,269.413,14.275,244.585,15.405,104.995,145.571,62.571000000000005,148.06799999999998,50.093,147.84799999999998,126.954,26.319000000000003,220.708,147.862,245.67,26.381,79.311,151.947,237.671,152.347,254.204,36.789,101.935,37.742,330.917,152.31799999999998,242.327,38.303000000000004,227.924,154.175,288.153,154.11700000000002,250.46400000000003,53.901,248.40900000000002,156.499,106.586,58.066,130.282,158.453,92.706,58.573,218.149,158.30100000000002,283.923,61.562,249.023,63.038000000000004,336.155,157.734,295.709,63.174,97.60799999999999,64.741,71.617,65.914,53.284,159.626,285.499,159.813,232.291,161.11700000000002,276.131,75.123,258.073,161.77700000000002,111.49700000000001,76.29899999999999,113.197,163.204,298.316,162.59799999999998,95.90299999999999,79.79899999999999,291.832,80.501,314.92,164.482,323.375,163.505,276.64,84.17399999999999,257.66700000000003,86.777,218.646,88.01299999999999,227.355,88.62,335.986,170.514,118.969,96.45299999999999,249.208,97.075,228.593,99.87700000000001,82.95700000000001,175.06599999999997,78.582,101.80799999999999,258.812,103.274,136.672,177.28400000000002,290.277,178.898,41.685,179.99,150.52100000000002,179.91400000000002,250.854,179.743,262.421,179.64,101.91,110.01,70.093,182.21599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,127.766,112.245,38.71,113.405,283.39599999999996,186.274,109.366,114.249,87.5,189.699,267.797,117.431,148.145,189.50599999999997,310.716,116.695,321.659,120.04700000000001,93.46,123.00399999999999,285.844,123.104,328.769,123.766,135.207,125.68799999999999,149.48,126.695,242.012,128.34799999999998,311.22,130.803,332.994,132.298,233.46900000000002,137.37,76.473,138.127,46.345,139.211,94.554,141.696,68.074,143.39700000000002,14.114,143.517,271.534,144.42700000000002,269.362,14.254000000000001,244.28,15.610999999999999,104.96700000000001,145.567,62.543,148.031,50.082,147.81799999999998,127.007,26.302,220.68400000000003,147.889,245.59599999999998,26.461,79.32,151.878,237.644,152.35399999999998,254.183,36.797,101.94,37.727,330.912,152.268,242.31599999999997,38.259,227.89700000000002,154.085,288.166,154.135,250.455,53.851000000000006,248.359,156.477,106.569,58.019,130.304,158.40200000000002,92.711,58.57899999999999,218.12099999999998,158.256,283.9,61.582,249.058,63.059,336.17800000000005,157.707,295.697,63.185,97.62,64.747,71.582,65.908,53.288000000000004,159.623,285.52299999999997,159.882,232.293,161.067,276.142,75.096,258.072,161.73,111.51,76.23,113.234,163.122,298.319,162.594,95.859,79.923,291.829,80.516,314.949,164.488,323.349,163.545,276.60200000000003,84.204,257.689,86.814,218.75400000000002,87.95700000000001,227.393,88.594,335.913,170.451,118.916,96.444,249.25799999999998,97.036,228.59,99.86200000000001,82.927,174.922,78.587,101.811,258.808,103.249,136.67700000000002,177.435,290.402,178.859,41.69,180.003,150.579,179.92700000000002,250.858,179.727,262.474,179.532,102.024,109.97200000000001,70.033,182.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
