TimesH,Frame,NoMissing,26,26,53,53,75,75,95,95,102,102,108,108,135,135,137,137,141,141,142,142,176,176,183,183,184,184,186,186,194,194,201,201,209,209,216,216,229,229,237,237,252,252,265,265,266,266,283,283,291,291,294,294,301,301,304,304,315,315,351,351,356,356,377,377,382,382,385,385,394,394,397,397,403,403,406,406,413,413,414,414,420,420,430,430,439,439,481,481,485,485,488,488,745,745,823,823,1003,1003,1109,1109,1110,1110
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
181.75,727.0,,114.348,17.644000000000002,233.032,32.488,110.396,44.911,103.315,55.218,222.19400000000002,56.87,98.333,60.021,278.686,69.543,291.361,71.92,255.354,72.835,264.64,72.775,267.76599999999996,86.145,88.48700000000001,88.67399999999999,108.94200000000001,88.956,230.115,91.005,115.061,95.06700000000001,289.95599999999996,96.361,302.015,100.21,81.15899999999999,103.85600000000001,268.135,106.554,254.37400000000002,110.91,77.098,114.145,64.62100000000001,119.084,128.284,118.914,309.817,124.587,,,87.571,128.481,289.257,129.65200000000002,36.411,132.086,246.125,133.077,279.248,144.049,73.874,145.839,312.33299999999997,149.748,111.152,151.644,302.23400000000004,152.173,65.66199999999999,156.113,283.78,155.977,311.33799999999997,157.029,130.213,157.82299999999998,228.425,161.959,264.45599999999996,160.52,78.192,162.878,29.339000000000002,165.136,145.518,166.748,20.093,179.378,279.98400000000004,179.958,101.395,181.503,,,,,,,,,,
182.0,728.0,,114.412,17.63,233.019,32.589,110.494,44.888000000000005,103.39,55.193000000000005,222.196,56.847,98.427,60.034,278.692,69.553,291.389,71.852,255.395,72.82300000000001,264.62,72.738,267.745,86.09,88.46600000000001,88.64200000000001,108.956,88.934,230.175,91.06299999999999,115.07700000000001,95.12899999999999,289.96299999999997,96.348,302.02099999999996,100.391,81.116,103.869,268.105,106.525,254.354,110.87700000000001,77.118,114.113,64.577,119.051,128.344,118.79899999999999,309.842,124.575,,,87.537,128.499,289.224,129.736,36.461999999999996,132.164,246.135,133.084,279.26,144.066,73.882,145.933,312.39,149.722,111.12299999999999,151.681,302.242,152.159,65.675,156.134,283.767,155.94899999999998,311.332,157.054,130.244,157.799,228.452,161.882,264.393,160.576,78.268,162.92,29.421,165.13099999999997,145.543,166.671,20.131,179.47299999999998,280.02,179.915,101.464,181.455,,,,,,,,,,
182.25,729.0,,114.565,17.825,233.00799999999998,32.508,110.514,44.766000000000005,103.441,55.205,222.148,56.923,98.45200000000001,60.02,278.643,69.568,291.378,71.884,255.39,72.82600000000001,264.61,72.753,267.73900000000003,86.06299999999999,88.501,88.64,108.912,88.988,230.165,91.12200000000001,115.59899999999999,95.68799999999999,289.98400000000004,96.398,302.084,100.435,81.134,103.85600000000001,268.10200000000003,106.51899999999999,254.27200000000002,111.117,77.14,114.146,64.577,119.024,128.361,118.698,309.774,124.465,226.83,126.69,87.544,128.496,289.192,129.766,36.455,132.179,246.153,133.06,279.32099999999997,144.09,73.896,145.898,312.37,149.75,111.134,151.714,302.32,152.149,65.668,156.127,283.817,155.976,311.34,157.04399999999998,130.235,157.852,228.493,161.717,264.39099999999996,160.571,78.267,163.055,29.375999999999998,165.15900000000002,145.528,166.607,20.134,179.326,280.009,179.954,101.46799999999999,181.468,,,,,,,,,,
182.5,730.0,,114.581,17.848,232.942,32.449,110.477,44.896,103.465,55.215,222.02700000000002,57.025,98.479,60.068000000000005,278.507,69.509,291.38599999999997,71.825,255.40200000000002,72.817,264.63,72.735,267.747,86.09299999999999,88.51,88.645,108.853,89.038,230.178,91.1,115.762,95.802,289.98900000000003,96.416,302.033,100.215,81.075,103.85600000000001,268.10200000000003,106.506,254.19400000000002,111.23200000000001,77.316,114.257,64.527,119.04799999999999,128.333,118.73100000000001,309.812,124.333,227.16099999999997,126.81200000000001,87.44,128.531,289.309,129.76,36.472,132.066,246.18900000000002,132.972,279.374,144.127,73.905,145.944,312.413,149.843,111.072,151.644,302.325,152.3,65.656,156.111,283.849,156.079,311.308,157.075,130.22899999999998,157.844,228.52900000000002,161.716,264.262,160.636,78.256,163.06,29.447,165.055,145.503,166.551,20.227999999999998,179.31,280.027,179.956,101.479,181.47799999999998,,,,,,,,,,
182.75,731.0,,114.514,17.703,233.017,32.493,110.414,44.913999999999994,103.48100000000001,55.238,221.955,56.925,98.46600000000001,60.067,278.666,69.488,291.376,71.813,255.389,72.815,264.62,72.752,267.76599999999996,86.081,84.38,91.647,108.82,89.031,230.16400000000002,91.09899999999999,115.652,95.691,290.027,96.375,301.967,100.395,81.079,103.835,268.105,106.52799999999999,,,77.27,114.167,64.49600000000001,119.022,128.341,118.62299999999999,309.841,124.275,227.30700000000002,126.883,87.35700000000001,128.515,289.351,129.774,36.484,132.054,246.19400000000002,132.951,279.268,144.1,73.94,146.007,312.453,149.8,111.119,151.605,302.395,152.377,65.581,156.144,283.842,156.13299999999998,311.276,157.08100000000002,130.218,157.836,228.50799999999998,161.78799999999998,264.402,160.60399999999998,78.32,163.097,29.427,165.067,145.52700000000002,166.55700000000002,20.24,179.17700000000002,280.04200000000003,179.929,101.417,181.424,,,,,,,,,,
183.0,732.0,,114.509,17.471,232.99599999999998,32.458,110.397,44.981,103.49700000000001,55.226000000000006,221.924,57.011,98.508,60.06399999999999,278.62,69.50399999999999,291.341,71.867,255.405,72.843,264.60400000000004,72.767,267.759,86.054,88.479,88.667,108.819,88.98299999999999,230.183,91.12899999999999,115.17200000000001,95.09700000000001,289.995,96.365,302.003,100.62899999999999,81.048,103.83200000000001,268.105,106.51700000000001,254.727,110.26299999999999,77.278,114.139,64.458,119.04700000000001,128.388,118.557,309.965,124.255,227.325,126.90700000000001,87.38,128.464,289.41700000000003,129.826,36.476,132.078,246.19,132.931,279.29200000000003,144.059,73.92,145.904,312.41200000000003,149.836,111.15799999999999,151.57399999999998,302.413,152.359,65.545,156.111,283.809,156.09,311.317,157.072,130.219,157.866,228.602,161.561,264.404,160.431,78.265,163.13,29.421,165.013,145.583,166.55700000000002,20.145,178.882,280.027,179.93200000000002,101.41799999999999,181.363,,,,,,,,,,
183.25,733.0,,114.56700000000001,17.712,232.947,32.459,110.46700000000001,45.05,103.495,55.177,221.985,57.001999999999995,98.488,60.055,278.647,69.493,291.34,71.87899999999999,255.408,72.82600000000001,264.593,72.766,267.746,86.022,88.49,88.64200000000001,108.79899999999999,89.025,230.192,91.111,115.68799999999999,95.677,289.97700000000003,96.323,302.05400000000003,101.25399999999999,81.087,103.84299999999999,268.145,106.493,254.729,110.181,77.25,114.17299999999999,64.433,119.051,128.313,118.51,310.145,124.243,227.52599999999998,126.98,87.316,128.472,289.557,129.809,36.542,132.02700000000002,246.18,132.944,279.383,144.094,73.882,145.89,312.402,149.841,111.163,151.572,302.36400000000003,152.24,65.559,156.063,283.823,156.124,311.305,157.1,130.19,157.868,228.648,161.325,264.377,160.431,78.322,163.143,29.465,165.002,145.57299999999998,166.55599999999998,20.198,178.451,280.035,179.959,101.495,181.328,,,,,,,,,,
183.5,734.0,,114.54799999999999,17.618,232.919,32.422,110.538,44.935,103.49600000000001,55.148,222.00400000000002,56.964,98.48,60.074,278.686,69.467,291.319,71.942,255.41099999999997,72.815,264.53700000000003,72.738,267.784,86.037,88.475,88.63600000000001,108.70200000000001,89.042,230.17700000000002,91.101,115.69200000000001,95.694,289.97900000000004,96.32700000000001,301.94599999999997,101.14399999999999,81.048,103.861,268.117,106.471,254.709,110.10799999999999,77.346,114.256,64.408,119.065,128.387,118.565,310.192,124.265,227.579,126.98100000000001,87.34700000000001,128.43,290.453,129.861,36.48,132.033,246.183,132.95,279.414,144.082,73.876,145.875,312.431,149.781,111.23200000000001,151.524,302.319,152.111,65.52600000000001,156.018,283.789,156.096,311.324,157.131,130.20600000000002,157.859,228.666,161.08700000000002,264.51,160.27700000000002,78.292,163.00799999999998,29.419,164.94400000000002,145.65,166.636,20.078,178.642,280.045,179.984,101.46799999999999,181.31400000000002,,,,,,,,,,
