TimesH,Frame,NoMissing,9,9,12,12,21,21,30,30,50,50,51,51,52,52,61,61,86,86,96,96,111,111,121,121,155,155,240,240,260,260,270,270,301,301,319,319,320,320,337,337,344,344,347,347,363,363,373,373,385,385,386,386,388,388,391,391,392,392,406,406,420,420,424,424,447,447,488,488,497,497,509,509,577,577,648,648,656,656,698,698,705,705,750,750,787,787,804,804,810,810,833,833,870,870,887,887,914,914,962,962,1001,1001,1025,1025,1054,1054,1113,1113,1233,1233,1326,1326,1360,1360,1395,1395,1404,1404,1434,1434,1507,1507,1582,1582,1585,1585,1593,1593,1601,1601,1622,1622,1654,1654,1656,1656,1774,1774,1790,1790,1822,1822,1831,1831,1833,1833,1844,1844,1878,1878,1947,1947,1989,1989,2061,2061,2107,2107,2177,2177,2301,2301,2308,2308,2401,2401,2409,2409,2508,2508,2599,2599,2605,2605,2623,2623,2624,2624,2639,2639,2793,2793,2878,2878,2897,2897,2942,2942,2998,2998,3114,3114,3217,3217,3286,3286,3377,3377,3600,3600,3633,3633,3695,3695
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
354.25,1417.0,,310.038,149.03799999999998,45.975,151.582,208.34599999999998,142.528,252.128,145.02700000000002,39.93,132.381,63.208999999999996,131.985,202.451,131.719,53.908,133.687,137.04399999999998,165.94400000000002,45.535,160.149,91.09200000000001,155.028,79.882,157.862,83.22,178.815,226.96200000000002,33.451,246.16299999999998,28.956999999999997,265.622,15.702,249.27900000000002,62.303000000000004,235.671,56.713,272.286,57.478,239.94,51.27,145.493,39.904,232.908,40.363,286.82099999999997,87.281,261.57599999999996,78.494,240.365,83.19200000000001,80.547,72.768,154.16,73.322,267.765,72.737,97.82700000000001,74.20100000000001,260.805,66.78399999999999,68.757,106.295,77.71,108.39399999999999,253.447,104.21700000000001,165.77200000000002,126.83200000000001,319.7,120.904,46.507,126.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.5,1418.0,,310.034,149.034,46.056999999999995,151.642,208.22099999999998,142.467,252.13,144.993,39.898,132.382,63.246,131.964,202.452,131.659,53.901,133.714,136.959,165.923,45.501000000000005,160.16,91.119,155.02100000000002,79.891,157.842,83.227,178.783,227.085,33.558,246.12400000000002,28.936999999999998,265.61400000000003,15.683,249.28,62.284,235.683,56.733999999999995,272.315,57.495,239.92700000000002,51.27,145.494,39.861,232.942,40.423,286.765,87.273,261.552,78.53,240.399,83.196,80.558,72.77600000000001,154.19799999999998,73.342,267.748,72.736,97.833,74.188,260.795,66.788,68.76100000000001,106.318,77.685,108.39399999999999,253.46,104.204,165.778,126.76899999999999,319.67400000000004,120.986,46.498000000000005,126.23200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.75,1419.0,,310.034,148.97,46.04,151.63,208.24099999999999,142.481,252.15400000000002,144.987,39.832,132.341,63.246,131.969,202.484,131.576,53.852,133.632,137.06799999999998,165.938,45.518,160.158,91.109,155.017,79.85,157.861,83.213,178.77700000000002,227.13299999999998,33.688,246.127,28.951999999999998,265.578,15.699000000000002,249.28599999999997,62.281000000000006,235.62900000000002,56.769,272.29900000000004,57.532,239.922,51.251999999999995,145.555,39.832,232.918,40.364000000000004,286.768,87.213,261.503,78.535,240.396,83.16,80.59100000000001,72.756,154.17700000000002,73.325,267.748,72.73100000000001,97.78299999999999,74.207,260.762,66.782,68.806,106.333,77.66,108.389,253.46599999999998,104.23299999999999,165.731,126.794,319.718,120.991,46.5,126.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.0,1420.0,,310.001,148.996,46.108999999999995,151.707,208.235,142.41,252.15599999999998,144.986,39.804,132.306,63.229,131.969,202.517,131.495,53.812,133.488,137.173,165.90200000000002,45.532,160.154,91.12,155.045,79.861,157.84,83.18299999999999,178.769,227.37400000000002,33.861999999999995,246.13099999999997,28.993000000000002,265.568,15.693,249.27900000000002,62.272,235.68400000000003,56.773,272.3,57.525,239.923,51.255,145.507,39.885,232.952,40.387,286.7,87.162,261.436,78.554,240.417,83.163,80.622,72.852,154.18,73.329,267.72900000000004,72.729,97.79899999999999,74.193,260.79200000000003,66.782,68.816,106.33,77.623,108.382,253.44,104.214,165.65099999999998,126.825,319.775,121.066,46.498999999999995,126.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.25,1421.0,,310.014,148.96200000000002,46.12,151.707,208.27700000000002,142.377,252.168,144.97299999999998,39.75,132.29,63.213,131.98,202.39,131.514,53.808,133.511,137.265,165.859,45.515,160.153,91.06200000000001,155.056,79.863,157.845,83.18700000000001,178.74200000000002,227.91299999999998,34.282,246.143,29.011,265.54900000000004,15.687000000000001,249.248,62.265,235.687,56.81,272.308,57.56399999999999,239.947,51.273,145.458,39.879,232.899,40.266999999999996,286.76599999999996,87.11,261.566,78.472,240.433,83.181,80.597,72.775,154.241,73.305,267.718,72.751,97.774,74.187,260.835,66.78699999999999,68.855,106.363,77.572,108.369,253.457,104.191,165.667,126.775,319.742,121.014,46.518,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.5,1422.0,,310.047,148.96,46.156000000000006,151.716,208.25900000000001,142.388,252.167,144.974,39.751999999999995,132.334,63.206,131.925,202.392,131.499,53.806999999999995,133.528,137.421,165.828,45.443999999999996,160.061,91.065,155.05700000000002,79.835,157.815,83.197,178.736,227.903,34.344,246.15099999999998,28.999000000000002,265.556,15.722000000000001,249.236,62.258,235.637,56.818999999999996,272.3,57.56399999999999,239.967,51.254,145.455,39.772,232.87599999999998,40.219,286.851,87.075,261.54400000000004,78.49,240.415,83.184,80.634,72.789,154.246,73.298,267.718,72.757,97.76,74.185,260.835,66.777,68.851,106.38799999999999,77.503,108.361,253.429,104.185,165.615,126.777,319.72700000000003,120.955,46.522,126.213,116.292,74.17699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.75,1423.0,,310.04,148.92,46.211999999999996,151.791,208.236,142.357,252.16099999999997,144.986,39.684,132.339,63.195,131.879,202.452,131.536,53.795,133.59,137.52200000000002,165.808,45.427,160.085,91.072,155.088,79.84100000000001,157.852,83.186,178.706,228.558,34.703,246.081,28.986,265.54,15.734000000000002,249.25799999999998,62.255,235.613,56.813,272.288,57.565,239.998,51.254,145.459,39.766999999999996,232.87099999999998,40.239000000000004,286.858,87.04700000000001,261.529,78.471,240.416,83.204,80.602,72.74600000000001,154.232,73.263,267.731,72.751,97.76799999999999,74.209,260.92,66.779,68.83800000000001,106.396,77.491,108.32799999999999,253.467,104.206,165.618,126.71700000000001,319.75,121.014,46.513999999999996,126.199,116.205,74.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.0,1424.0,,310.07599999999996,148.935,46.133,151.736,208.24099999999999,142.289,252.169,144.977,39.676,132.32399999999998,63.18899999999999,131.86,202.438,131.468,53.801,133.52100000000002,137.47799999999998,165.69099999999997,45.458,160.137,91.025,155.107,79.816,157.846,83.177,178.68,228.773,34.836999999999996,246.05900000000003,28.991999999999997,265.543,15.725999999999999,249.264,62.23,235.676,56.8,272.282,57.62,240.02599999999998,51.228,145.416,39.818000000000005,232.835,40.255,286.87,86.961,261.499,78.428,240.43,83.23100000000001,80.631,72.755,154.2,73.21600000000001,267.743,72.72,97.75399999999999,74.21,260.971,66.747,68.824,106.38,77.441,108.323,253.40900000000002,104.152,165.578,126.727,319.749,121.022,46.542,126.169,116.212,74.07600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
