 ,Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
1,ID4474818,4474818,9,0.446,189.582,91.999,0,1340,1340,2.500,1,614.871,616.098,636.879,639.874,None,None,None,None,None,None,-10921639,614.871,614.900,614.191,615.472,22750.217,0.347,7.509,2.314E-4,0.821
2,ID4475682,4475682,9,0.453,189.716,91.890,0,1341,1341,2.500,1,614.841,615.312,636.826,637.936,None,None,None,None,None,None,-10921639,614.841,614.842,614.124,615.447,22749.102,0.344,7.507,2.308E-4,0.825
3,ID4474965,4474965,9,0.449,189.669,91.919,0,1342,1342,2.500,1,614.819,615.438,636.783,637.978,None,None,None,None,None,None,-10921639,614.819,614.852,614.114,615.425,22748.308,0.346,7.507,2.256E-4,0.802
4,ID4474090,4474090,9,0.438,189.696,91.890,0,1343,1343,2.500,1,614.795,614.632,636.739,639.274,None,None,None,None,None,None,-10921639,614.795,614.870,614.088,615.395,22747.404,0.345,7.510,2.153E-4,0.767
5,ID4474403,4474403,9,0.442,189.674,91.955,0,1344,1344,2.500,1,614.779,614.068,636.661,636.667,None,None,None,None,None,None,-10921639,614.779,614.813,614.119,615.388,22746.833,0.342,7.509,2.189E-4,0.787
6,ID4473771,4473771,9,0.443,189.751,91.964,0,1345,1345,2.500,1,614.766,614.008,636.601,635.513,None,None,None,None,None,None,-10921639,614.766,614.799,614.134,615.408,22746.327,0.335,7.509,2.216E-4,0.814
7,ID4475355,4475355,9,0.440,189.752,91.902,0,1346,1346,2.500,1,614.759,614.251,636.555,635.740,None,None,None,None,None,None,-10921639,614.759,614.791,614.125,615.393,22746.098,0.330,7.511,2.265E-4,0.843
8,ID4476002,4476002,9,0.447,189.877,91.920,0,1347,1347,2.500,1,614.757,613.915,636.494,635.888,None,None,None,None,None,None,-10921639,614.757,614.773,614.093,615.387,22745.999,0.325,7.509,2.333E-4,0.883
9,ID4477089,4477089,9,0.446,189.805,91.994,0,1348,1348,2.500,1,614.750,614.260,636.434,634.765,None,None,None,None,None,None,-10921639,614.750,614.756,614.093,615.397,22745.764,0.330,7.511,2.343E-4,0.872
10,ID4476329,4476329,9,0.452,189.822,92.087,0,1349,1349,2.500,1,614.745,614.276,636.370,633.566,None,None,None,None,None,None,-10921639,614.745,614.725,614.066,615.376,22745.548,0.329,7.510,2.417E-4,0.903
11,ID4477158,4477158,9,0.450,189.866,92.026,0,1350,1350,2.500,1,614.729,613.998,636.308,633.240,None,None,None,None,None,None,-10921639,614.729,614.739,614.018,615.352,22744.958,0.326,7.509,2.369E-4,0.892
12,ID4477598,4477598,9,0.448,189.867,92.023,0,1351,1351,2.500,1,614.718,613.672,636.262,633.173,None,None,None,None,None,None,-10921639,614.718,614.717,613.978,615.347,22744.576,0.332,7.506,2.340E-4,0.867
13,ID4476641,4476641,9,0.448,189.797,92.097,0,1352,1352,2.500,1,614.709,613.968,636.211,632.872,None,None,None,None,None,None,-10921639,614.709,614.727,613.977,615.320,22744.229,0.330,7.510,2.370E-4,0.883
14,ID4477904,4477904,9,0.454,189.787,92.090,0,1353,1353,2.500,1,614.697,613.060,636.149,631.334,None,None,None,None,None,None,-10921639,614.697,614.695,613.883,615.319,22743.793,0.339,7.508,2.427E-4,0.880
15,ID4478541,4478541,9,0.458,189.731,92.169,0,1354,1354,2.500,1,614.698,613.521,636.109,631.495,None,None,None,None,None,None,-10921639,614.698,614.682,613.892,615.323,22743.829,0.348,7.509,2.516E-4,0.890
16,ID4478221,4478221,9,0.464,189.734,92.344,0,1355,1355,2.500,1,614.701,613.158,636.059,630.467,None,None,None,None,None,None,-10921639,614.701,614.681,613.842,615.337,22743.951,0.362,7.509,2.603E-4,0.885
17,ID4478859,4478859,9,0.461,189.695,92.319,0,1356,1356,2.500,1,614.696,613.240,636.008,629.829,None,None,None,None,None,None,-10921639,614.696,614.704,613.819,615.329,22743.763,0.364,7.507,2.616E-4,0.884
18,ID4479491,4479491,9,0.467,189.703,92.350,0,1357,1357,2.500,1,614.695,613.859,635.964,629.982,None,None,None,None,None,None,-10921639,614.695,614.652,613.843,615.331,22743.704,0.366,7.502,2.661E-4,0.892
19,ID4480125,4480125,9,0.469,189.632,92.463,0,1358,1358,2.500,1,614.682,613.020,635.924,630.077,None,None,None,None,None,None,-10921639,614.682,614.605,613.801,615.280,22743.238,0.374,7.503,2.629E-4,0.864
20,ID4479181,4479181,9,0.469,189.669,92.577,0,1359,1359,2.500,1,614.733,612.532,636.295,629.884,None,None,None,None,None,None,-10921639,614.733,614.740,614.026,615.300,22745.121,0.348,4.397,2.469E-4,0.871
21,ID4479813,4479813,9,0.469,189.638,92.576,0,1360,1360,2.500,1,614.733,613.217,636.237,629.189,None,None,None,None,None,None,-10921639,614.733,614.715,614.026,615.320,22745.117,0.357,4.389,2.516E-4,0.867
