 ,Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
1,ID1630417,1630417,68,0.559,110.799,31.165,0,668,668,2.500,1,611.333,613.640,617.850,622.269,None,None,None,None,None,None,-10921639,611.333,611.372,610.796,611.858,22619.309,0.304,4.426,3.531E-4,1.419
2,ID1629797,1629797,68,0.557,110.840,31.149,0,669,669,2.500,1,611.315,613.213,617.809,623.141,None,None,None,None,None,None,-10921639,611.315,611.369,610.815,611.870,22618.673,0.301,4.429,3.525E-4,1.432
3,ID1628849,1628849,68,0.545,110.815,31.159,0,670,670,2.500,1,611.290,613.158,617.752,623.239,None,None,None,None,None,None,-10921639,611.290,611.336,610.801,611.805,22617.740,0.292,4.432,3.430E-4,1.436
4,ID1629020,1629020,68,0.545,110.899,31.090,0,671,671,2.500,1,611.269,614.026,617.698,624.485,None,None,None,None,None,None,-10921639,611.269,611.316,610.767,611.768,22616.964,0.283,4.430,3.388E-4,1.461
5,ID1628536,1628536,68,0.537,110.968,31.093,0,672,672,2.500,1,611.240,613.155,617.632,623.219,None,None,None,None,None,None,-10921639,611.240,611.302,610.735,611.722,22615.865,0.277,4.434,3.348E-4,1.479
6,ID1630102,1630102,68,0.534,110.960,31.066,0,673,673,2.500,1,611.219,612.972,617.581,624.499,None,None,None,None,None,None,-10921639,611.219,611.281,610.695,611.689,22615.109,0.273,4.433,3.343E-4,1.494
7,ID1629478,1629478,68,0.525,110.929,31.022,0,674,674,2.500,1,611.203,612.854,617.519,623.964,None,None,None,None,None,None,-10921639,611.203,611.260,610.705,611.670,22614.522,0.271,4.436,3.335E-4,1.501
8,ID1630730,1630730,68,0.523,110.982,30.998,0,675,675,2.500,1,611.190,613.311,617.454,624.616,None,None,None,None,None,None,-10921639,611.190,611.239,610.684,611.654,22614.037,0.261,4.437,3.340E-4,1.563
9,ID1631043,1631043,68,0.516,110.983,30.989,0,676,676,2.500,1,611.169,613.558,617.387,624.700,None,None,None,None,None,None,-10921639,611.169,611.203,610.655,611.641,22613.250,0.256,4.435,3.300E-4,1.577
10,ID1631667,1631667,68,0.512,111.017,30.955,0,677,677,2.500,1,611.143,612.862,617.321,624.460,None,None,None,None,None,None,-10921639,611.143,611.182,610.655,611.611,22612.279,0.253,4.433,3.221E-4,1.557
11,ID1631355,1631355,68,0.510,111.145,30.969,0,678,678,2.500,1,611.129,612.778,617.253,624.661,None,None,None,None,None,None,-10921639,611.129,611.164,610.629,611.585,22611.779,0.244,4.431,3.195E-4,1.600
12,ID1631968,1631968,68,0.512,111.208,31.080,0,679,679,2.500,1,611.117,613.258,617.189,624.293,None,None,None,None,None,None,-10921639,611.117,611.159,610.590,611.613,22611.311,0.252,4.432,3.178E-4,1.540
13,ID1632274,1632274,68,0.507,111.135,31.047,0,680,680,2.500,1,611.100,612.882,617.125,623.514,None,None,None,None,None,None,-10921639,611.100,611.120,610.547,611.599,22610.684,0.254,4.433,3.145E-4,1.516
