TimesH,Frame,NoMissing,80,80,88,88,89,89,106,106,111,111,115,115,117,117,132,132,134,134,135,135,136,136,143,143,160,160,165,165,190,190,203,203,211,211,217,217,223,223,233,233,234,234,236,236,245,245,251,251,256,256,263,263,273,273,278,278,279,279,287,287,294,294,299,299,315,315,316,316,326,326,436,436,578,578,827,827,1023,1023
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
181.75,727.0,,243.785,110.521,126.477,116.27600000000001,271.569,114.73299999999999,110.059,129.101,69.648,130.15200000000002,236.43400000000003,131.43200000000002,222.125,134.899,78.793,127.084,261.882,125.059,104.836,143.361,62.568999999999996,143.16299999999998,113.53299999999999,146.013,110.5,138.525,260.374,154.065,66.005,152.642,309.618,167.226,265.813,170.225,237.868,161.284,105.399,161.726,96.929,178.015,59.18600000000001,178.209,289.409,179.09,47.575,172.919,86.98100000000001,172.72799999999998,83.575,177.015,59.746,188.171,135.679,190.584,130.974,182.395,77.183,182.273,92.059,184.303,101.728,196.472,273.001,197.16,308.403,192.37599999999998,115.64299999999999,194.247,254.516,201.90200000000002,,,,,,,,
182.0,728.0,,243.782,110.495,126.51799999999999,116.30799999999999,271.719,114.744,110.04,129.12,69.654,130.14600000000002,236.365,131.439,222.15,134.878,78.783,127.01100000000001,261.901,125.109,104.835,143.374,62.631,143.231,113.484,146.03799999999998,110.508,138.54399999999998,260.381,154.05200000000002,65.953,152.621,309.65,167.22,265.809,170.235,237.842,161.289,105.415,161.727,97.071,178.075,59.18600000000001,178.239,289.427,179.08599999999998,47.583999999999996,172.93,86.98100000000001,172.74900000000002,83.555,177.00799999999998,59.751999999999995,188.153,135.687,190.554,130.97299999999998,182.36700000000002,77.22399999999999,182.233,92.056,184.32299999999998,101.779,196.46099999999998,273.008,197.15099999999998,308.339,192.351,115.662,194.25099999999998,254.525,201.905,,,,,,,,
182.25,729.0,,243.824,110.51799999999999,126.273,116.236,271.812,114.723,110.071,129.143,69.654,130.124,236.41099999999997,131.245,222.19400000000002,134.849,78.778,126.93,261.892,125.084,104.833,143.345,62.645,143.235,113.432,146.001,110.51,138.55700000000002,260.371,154.061,65.934,152.642,309.632,167.203,265.749,170.226,237.864,161.29399999999998,105.412,161.747,96.89200000000001,177.975,59.20399999999999,178.192,289.416,179.074,47.582,172.93599999999998,86.99700000000001,172.755,83.583,176.967,59.777,188.144,135.748,190.516,130.93200000000002,182.37,77.199,182.226,92.087,184.30200000000002,101.811,196.451,273.01099999999997,197.16299999999998,308.307,192.33700000000002,115.655,194.266,254.546,201.885,,,,,,,,
182.5,730.0,,243.808,110.501,126.478,116.137,271.72700000000003,114.73100000000001,110.081,129.116,69.667,130.123,236.40200000000002,131.091,222.114,134.811,78.819,126.887,261.884,125.071,104.833,143.356,62.568000000000005,143.289,113.459,145.96,110.514,138.558,260.366,154.06,65.911,152.654,309.649,167.21099999999998,265.78700000000003,170.239,237.86599999999999,161.30700000000002,105.413,161.763,97.288,178.16400000000002,59.235,178.217,289.416,179.067,47.589,172.953,87.014,172.745,83.601,176.95,59.778999999999996,188.144,135.82,190.493,130.9,182.36700000000002,77.128,182.227,92.09700000000001,184.299,101.927,196.43200000000002,273.036,197.14,308.293,192.27900000000002,115.67399999999999,194.25400000000002,254.523,201.86900000000003,,,,,,,,
182.75,731.0,,243.84900000000002,110.506,126.971,116.186,271.809,114.691,110.12799999999999,129.125,69.69,130.11,236.387,130.915,222.107,134.804,78.87,126.89399999999999,261.902,125.04899999999999,104.833,143.332,62.638000000000005,143.12,113.432,145.933,110.46700000000001,138.596,260.35400000000004,154.05200000000002,65.921,152.68,309.618,167.22099999999998,265.791,170.235,237.88,161.279,105.35799999999999,161.751,98.204,178.86599999999999,59.261,178.21900000000002,289.428,179.055,47.593,172.93599999999998,87.01,172.752,83.655,176.915,59.792,188.10299999999998,135.859,190.49099999999999,130.903,182.36700000000002,77.112,182.24099999999999,92.132,184.28900000000002,101.939,196.417,273.043,197.16,308.343,192.253,115.677,194.245,254.545,201.863,,,,,,,,
183.0,732.0,,243.84099999999998,110.501,127.244,116.274,271.72700000000003,114.524,110.14,129.17,69.669,130.119,236.391,130.871,222.12,134.805,78.77,126.77799999999999,261.903,125.052,104.787,143.328,62.707,143.3,113.478,145.938,110.445,138.628,260.365,154.05100000000002,65.984,152.653,309.652,167.197,265.777,170.22400000000002,237.885,161.27100000000002,105.40899999999999,161.803,98.10600000000001,178.78400000000002,59.24100000000001,178.199,289.42400000000004,179.05700000000002,47.57899999999999,172.915,87.024,172.748,83.666,176.88,59.785,188.108,135.866,190.46599999999998,130.892,182.324,77.186,182.18900000000002,92.13600000000001,184.28599999999997,102.01,196.392,273.07099999999997,197.17,308.366,192.233,115.689,194.232,254.53900000000002,201.833,,,,,,,,
183.25,733.0,,243.84799999999998,110.51,127.014,116.29899999999999,271.60400000000004,114.51,110.13799999999999,129.083,69.658,130.10399999999998,236.354,130.703,222.062,134.838,78.637,126.844,261.885,125.04799999999999,104.77600000000001,143.321,62.718,143.305,113.447,145.957,110.411,138.615,260.369,154.03799999999998,66.036,152.609,309.678,167.187,265.759,170.217,237.888,161.27200000000002,105.417,161.836,98.193,178.862,59.25,178.157,289.459,179.06900000000002,47.574,172.928,87.04,172.75,83.62899999999999,176.924,59.761,188.114,135.846,190.446,130.855,182.34799999999998,77.218,182.17700000000002,92.15299999999999,184.27900000000002,102.089,196.377,273.089,197.15200000000002,308.445,192.226,115.694,194.227,254.55700000000002,201.858,,,,,,,,
183.5,734.0,,243.843,110.509,127.307,116.37,271.656,114.416,110.15799999999999,129.158,69.649,130.10399999999998,236.407,130.621,222.03400000000002,134.85299999999998,78.533,126.834,261.884,125.029,104.76700000000001,143.363,62.791000000000004,143.447,113.439,145.964,110.435,138.637,260.361,154.026,65.99,152.668,309.7,167.179,265.77,170.226,237.873,161.262,105.448,161.865,98.289,178.953,59.245,178.16099999999997,289.482,179.06,47.577,172.933,87.061,172.766,83.602,176.958,59.763999999999996,188.111,135.852,190.463,130.836,182.354,77.21300000000001,182.15099999999998,92.18700000000001,184.275,102.027,196.34400000000002,273.068,197.12900000000002,308.492,192.175,115.706,194.24099999999999,254.554,201.865,,,,,,,,
183.75,735.0,,243.859,110.50399999999999,127.363,116.515,271.72700000000003,114.40799999999999,110.161,129.20600000000002,69.642,130.096,236.36,130.547,222.09799999999998,134.841,78.388,126.65299999999999,261.9,125.054,104.76899999999999,143.358,62.778,143.276,113.42299999999999,145.957,110.50299999999999,138.64700000000002,260.365,154.028,65.975,152.66299999999998,309.65,167.192,265.78,170.22400000000002,237.889,161.283,105.449,161.841,98.264,178.94799999999998,59.238,178.141,289.538,179.088,47.59,172.977,87.044,172.738,83.57799999999999,176.955,59.787,188.081,135.864,190.435,130.842,182.37099999999998,77.18,182.176,92.193,184.262,102.051,196.338,273.095,197.084,308.449,192.239,115.729,194.252,254.541,201.87400000000002,131.389,167.958,,,,,,
184.0,736.0,,243.80700000000002,110.454,127.09899999999999,116.45,271.69,114.40100000000001,110.18799999999999,129.167,69.641,130.084,236.34099999999998,130.529,222.093,134.856,78.41199999999999,126.67,261.893,125.08,104.757,143.339,62.724,143.28799999999998,113.43,145.95,110.50299999999999,138.68,260.337,154.01,65.95,152.632,309.683,167.179,265.743,170.204,237.878,161.257,105.44,161.86,98.42299999999999,179.102,59.24100000000001,178.17,289.526,179.084,47.589,172.979,87.07600000000001,172.713,83.574,176.94,59.803999999999995,188.063,135.849,190.418,130.791,182.38,77.23100000000001,182.128,92.215,184.235,102.15299999999999,196.315,273.096,197.107,308.439,192.226,115.772,194.208,254.52900000000002,201.852,131.33700000000002,167.947,,,,,,
184.25,737.0,,243.825,110.369,127.135,116.479,271.721,114.37200000000001,110.177,129.202,69.631,130.09799999999998,236.25599999999997,130.991,222.08900000000003,134.842,78.567,126.76799999999999,261.905,125.03299999999999,104.74600000000001,143.359,62.68899999999999,143.264,113.426,145.912,110.43299999999999,138.73,260.339,153.975,65.937,152.64600000000002,309.73400000000004,167.17700000000002,265.72700000000003,170.21400000000003,237.854,161.256,105.421,161.859,98.52600000000001,179.35299999999998,59.343999999999994,178.165,289.485,179.043,47.576,172.983,87.12799999999999,172.708,83.61399999999999,176.895,59.798,188.06099999999998,135.855,190.386,130.783,182.38299999999998,77.18,182.16299999999998,92.206,184.21,102.213,196.317,273.105,197.044,308.447,192.245,115.8,194.18099999999998,254.546,201.86,131.263,167.894,,,,,,
184.5,738.0,,243.775,110.36399999999999,127.03,116.54700000000001,271.682,114.311,110.189,129.216,69.619,130.084,236.35299999999998,130.869,222.128,134.835,78.531,126.758,261.911,125.03,104.73100000000001,143.385,62.615,143.214,113.385,145.899,110.369,138.752,260.346,153.97799999999998,65.944,152.61,309.749,167.162,265.66900000000004,170.195,237.861,161.257,105.429,161.884,98.574,179.40200000000002,59.306000000000004,178.16299999999998,289.44599999999997,179.028,47.58,172.984,87.11399999999999,172.75799999999998,83.59899999999999,176.924,59.818000000000005,188.05700000000002,135.83100000000002,190.38400000000001,130.795,182.37,77.217,182.15099999999998,92.21799999999999,184.201,102.334,196.325,273.10200000000003,197.05900000000003,308.418,192.275,115.802,194.17700000000002,254.52200000000002,201.83,131.14,167.868,,,,,,
