TimesH,Frame,NoMissing,13,13,49,49,54,54,57,57,63,63,69,69,70,70,73,73,77,77,165,165,185,185,196,196,211,211,213,213,219,219,230,230,232,232,243,243,246,246,249,249,257,257,262,262,265,265,270,270,272,272,279,279,286,286,288,288,290,290,298,298,301,301,306,306,307,307,310,310,312,312,314,314,317,317,328,328,330,330,332,332,336,336,343,343,411,411,527,527,528,528,546,546,588,588,592,592,603,603,616,616,629,629,642,642,644,644,742,742,969,969,972,972,978,978,1091,1091,1112,1112,1428,1428,1448,1448,1534,1534,1542,1542,1576,1576,1593,1593,1604,1604,1760,1760,1814,1814,1860,1860,1946,1946,2082,2082,2086,2086,2169,2169,2187,2187,2294,2294,2372,2372,2413,2413,2479,2479,2611,2611,2665,2665,2704,2704,2778,2778,2982,2982
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
354.25,1417.0,,91.21799999999999,188.59799999999998,358.0,2.0,112.06700000000001,174.968,280.243,175.3,105.95700000000001,179.171,70.773,180.963,82.155,180.924,273.845,180.912,304.591,180.797,249.00799999999998,88.559,88.889,105.449,201.143,112.044,78.122,123.416,155.465,123.98100000000001,143.241,127.506,267.431,118.736,103.436,120.273,112.874,137.435,74.369,139.059,296.91200000000003,129.18200000000002,262.45599999999996,130.65200000000002,321.282,144.56,215.709,146.13299999999998,265.277,147.66299999999998,50.452,149.214,258.079,139.409,244.274,142.237,89.23700000000001,144.303,115.281,145.392,88.484,163.329,51.707,165.10299999999998,230.923,165.78599999999997,258.351,165.80700000000002,65.72399999999999,168.07,264.72,167.96200000000002,99.855,168.86700000000002,316.607,169.157,276.848,151.10299999999998,302.279,153.303,230.61900000000003,154.005,259.145,155.718,120.566,157.988,117.75200000000001,121.34899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.5,1418.0,,91.204,188.59799999999998,358.0,2.0,112.07600000000001,174.985,280.225,175.287,105.90700000000001,179.153,70.751,180.96,82.154,180.916,273.847,180.896,304.616,180.753,249.021,88.539,88.90899999999999,105.456,201.14,112.041,78.10300000000001,123.23200000000001,155.47299999999998,124.139,143.251,127.492,267.41700000000003,118.758,103.40899999999999,120.25,112.865,137.442,74.393,139.077,296.926,129.185,262.519,130.649,321.285,144.525,215.696,146.159,265.29,147.656,50.477,149.216,258.073,139.411,244.144,141.856,89.209,144.238,115.287,145.36700000000002,88.48,163.333,51.693999999999996,165.082,230.949,165.775,258.342,165.78400000000002,65.727,168.06099999999998,264.712,167.93599999999998,99.837,168.84900000000002,316.625,169.144,276.871,151.077,302.28,153.295,230.611,153.999,259.16,155.687,120.56200000000001,158.02,117.691,121.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.75,1419.0,,91.178,188.58599999999998,358.0,2.0,112.06299999999999,174.998,280.21,175.28900000000002,105.896,179.132,70.718,180.924,82.109,180.84900000000002,273.846,180.872,304.599,180.736,249.03900000000002,88.499,88.92200000000001,105.45100000000001,201.137,112.052,78.084,123.206,155.53,124.01,143.257,127.486,267.405,118.73299999999999,103.37200000000001,120.279,112.84899999999999,137.435,74.372,139.07299999999998,296.925,129.18,262.497,130.59799999999998,321.232,144.504,215.68400000000003,146.105,265.243,147.566,50.523999999999994,149.181,258.08099999999996,139.39600000000002,244.19799999999998,142.013,89.19200000000001,144.173,115.305,145.389,88.475,163.312,51.708,165.079,230.942,165.771,258.335,165.75,65.667,168.06400000000002,264.736,167.926,99.835,168.84,316.613,169.146,276.87,151.075,302.272,153.3,230.62900000000002,153.999,259.17900000000003,155.66899999999998,120.54799999999999,158.039,117.45100000000001,121.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.0,1420.0,,91.17299999999999,188.578,358.0,2.0,112.134,174.956,280.22700000000003,175.273,105.844,179.107,70.657,180.90099999999998,82.071,180.80599999999998,273.846,180.84400000000002,304.657,180.747,249.03599999999997,88.50299999999999,88.898,105.432,201.141,112.06,78.08800000000001,123.18700000000001,155.454,124.156,143.252,127.48700000000001,267.438,118.712,103.37100000000001,120.255,112.831,137.405,74.36399999999999,139.07399999999998,296.91,129.17600000000002,262.519,130.565,321.219,144.537,215.72299999999998,146.151,265.298,147.621,50.456,149.19299999999998,258.13,139.412,244.136,141.92,89.17299999999999,144.113,115.292,145.392,88.48299999999999,163.292,51.696999999999996,165.067,230.96200000000002,165.755,258.29400000000004,165.69400000000002,65.668,168.071,264.76099999999997,167.91400000000002,99.831,168.826,316.622,169.13,276.888,151.056,302.27099999999996,153.29399999999998,230.63,154.00799999999998,259.194,155.642,120.51799999999999,158.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.25,1421.0,,91.13,188.567,358.0,2.0,112.25,174.856,280.243,175.24599999999998,105.779,179.088,70.67,180.885,82.023,180.74200000000002,273.849,180.832,304.686,180.739,249.013,88.492,88.92299999999999,105.449,201.141,112.05799999999999,78.185,123.37100000000001,155.503,124.00299999999999,143.252,127.49799999999999,267.449,118.72399999999999,103.376,120.23100000000001,112.811,137.381,74.319,139.092,296.904,129.189,262.485,130.61,321.205,144.566,215.75400000000002,146.15,265.298,147.60299999999998,50.477,149.196,258.145,139.411,244.079,141.916,89.15700000000001,144.058,115.29299999999999,145.442,88.48,163.262,51.693999999999996,165.045,230.985,165.73,258.29900000000004,165.675,65.667,168.065,264.757,167.90400000000002,99.785,168.766,316.616,169.118,276.902,151.037,302.281,153.276,230.646,153.998,259.209,155.628,120.531,158.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.5,1422.0,,91.145,188.551,358.0,2.0,112.21700000000001,174.84400000000002,280.244,175.21900000000002,105.79799999999999,179.077,70.672,180.91,81.99700000000001,180.73,273.843,180.829,304.736,180.71200000000002,248.998,88.485,88.88600000000001,105.439,201.138,112.055,78.263,123.16799999999999,155.54,123.913,143.257,127.491,267.46299999999997,118.72,103.36,120.214,112.825,137.38299999999998,74.296,139.1,296.913,129.18200000000002,262.509,130.583,321.219,144.55700000000002,215.775,146.189,265.29400000000004,147.621,50.466,149.213,258.14799999999997,139.391,244.111,141.89700000000002,89.14399999999999,144.017,115.289,145.42,88.501,163.241,51.706,165.03,231.05700000000002,165.739,258.289,165.65900000000002,65.689,167.99400000000003,264.778,167.895,99.788,168.769,316.64,169.093,276.902,151.02100000000002,302.27,153.282,230.653,154.017,259.202,155.59,120.587,158.05200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.75,1423.0,,91.13,188.53599999999997,358.0,2.0,112.145,174.87400000000002,280.242,175.2,105.758,179.03900000000002,70.671,180.862,82.057,180.735,273.844,180.812,304.755,180.71099999999998,248.987,88.43799999999999,88.87,105.455,201.13,112.039,78.229,123.068,155.49200000000002,123.95200000000001,143.231,127.48100000000001,267.462,118.73200000000001,103.32799999999999,120.21700000000001,112.81200000000001,137.373,74.283,139.082,296.914,129.187,262.488,130.501,321.22,144.548,215.78599999999997,146.175,265.325,147.63,50.403,149.167,258.151,139.378,244.148,142.60399999999998,89.125,143.965,115.31,145.418,88.463,163.189,51.68899999999999,165.019,231.071,165.675,258.297,165.65200000000002,65.703,167.99200000000002,264.808,167.88400000000001,99.774,168.74900000000002,316.633,169.077,276.925,151.005,302.274,153.274,230.628,153.969,259.219,155.571,120.6,158.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.0,1424.0,,91.104,188.523,358.0,2.0,112.125,174.832,280.257,175.18099999999998,105.715,179.00400000000002,70.648,180.868,82.06700000000001,180.72099999999998,273.84,180.785,304.803,180.707,248.958,88.39399999999999,88.84299999999999,105.413,201.106,112.023,78.25399999999999,123.085,155.561,123.889,143.244,127.479,267.47700000000003,118.727,103.315,120.234,112.76899999999999,137.32,74.295,138.96200000000002,296.908,129.195,262.566,130.49,321.204,144.499,215.775,146.16299999999998,265.264,147.565,50.433,149.159,258.165,139.36700000000002,244.153,142.096,89.098,143.903,115.304,145.39,88.439,163.18200000000002,51.676,165.0,231.043,165.665,258.29200000000003,165.625,65.681,167.972,264.832,167.858,99.75,168.72299999999998,316.65,169.071,276.938,150.97,302.3,153.267,230.604,153.936,259.23400000000004,155.543,120.536,158.03799999999998,117.462,121.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
